epoch,best,mean,std
0,0.9999954337008111,0.48892478817319684,0.36236473200976643
1,0.5000818432059714,0.20006845847181146,0.24492697843471095
2,0.9999851321870721,0.4666722046836359,0.38573856074947144
3,0.9999698039516436,0.36670621462419206,0.4268139509537164
4,0.9999698039516436,0.4111279660583733,0.3644452059163682
5,0.6666633115164118,0.3777961602818181,0.30949689508644734
6,0.9999412405159035,0.311131648528473,0.3937411446582384
7,0.9999697633979356,0.5611159666344536,0.30535451864223756
8,0.6666654379442555,0.2777997381775071,0.30223649680477954
9,0.9999697633979356,0.3333469475153736,0.34958130809407606
10,0.999985424562793,0.3111238513825911,0.3937622636449167
11,0.5000036438858574,0.10002644831357095,0.19998859836553953
12,0.999985424562793,0.1333620111101608,0.3399176694510385
13,0.9999854245563783,0.7110919907421532,0.3823038720146235
14,0.999941391222865,0.23334462020567584,0.35898289999619504
15,0.999985424562793,0.5666739666927015,0.3399147770294192
16,0.9999678252269159,0.54444091532386,0.37248280522760396
17,0.999985424562793,0.4444611056755333,0.4331497730760936
18,0.999941391222865,0.23335889193407366,0.3589736242095594
19,0.6666630916520804,0.2778045654683827,0.30223302711130706
20,0.999941391222865,0.48888915034347474,0.36240805518969144
21,0.50001465262367,0.20002759480723434,0.2449357096768821
22,0.9999678202370559,0.4111283588658713,0.36444259320038863
23,0.9999678202370559,0.5444469634851699,0.372475068028121
24,0.666663091099097,0.27780456289718897,0.3022308425554992
25,0.9999678202370559,0.2333575926297757,0.3589855096440461
26,0.999967825213799,0.3111287198088181,0.393752360489673
27,0.6666630916520804,0.3777940245852787,0.30949937536571537
28,0.9999678202370559,0.444451698845764,0.43315395853521915
29,0.9999412376282819,0.23335740004664807,0.3589757626811528
30,0.9999412376282819,0.3111332070117982,0.3937384792919941
31,0.9999412376282819,0.5666664326570022,0.3398946164559628
32,0.9999412376282819,0.33335760948135074,0.37708263032242173
33,0.999941237645762,0.3333587988142333,0.34956466239237016
34,0.9999578743724068,0.2666963098728775,0.44216834433794044
35,0.9999412376282819,0.48889654395862736,0.36239603400125536
36,0.6249990796119197,0.4500138677899992,0.27154741671015364
37,0.999941237645762,0.4111280336429492,0.36443181459267626
38,0.500014691020199,0.10005005439548298,0.19998231831236102
39,0.999941237645762,0.13337653226727694,0.3398946417319786
40,0.999941237645762,0.4111280294589742,0.36443181166109073
41,0.9999439718178292,0.4888975676680903,0.3623947444815934
42,0.9999439718178292,0.40001197791210336,0.48984089509502365
43,0.6666601373883039,0.37780017073289696,0.3094901062126085
44,0.9999439718178292,0.3833529006311244,0.377635391615084
45,0.9999439718178292,0.4111280150692912,0.364432860769096
46,0.999941237645762,0.3333586216951311,0.34956464583590546
47,0.9999412376811936,0.4666762293810561,0.38581650362719233
48,0.5000146910113406,0.20004100220258222,0.24492719917394198
49,0.9999440995674912,0.4111281867725035,0.3644326888338322
50,0.9999412376811936,0.33335850354258617,0.3495647493686782
51,0.9999412376811936,0.36668491152432586,0.42682597481890855
52,0.9999412376811936,0.23336765849182262,0.35897095624806036
53,0.9999412376811936,0.26669413871854963,0.4421646374319467
54,0.9999412376811936,0.5444456518485391,0.3724693222869086
55,0.9999412376811936,0.36668527666233003,0.4268256970361923
56,0.9999412376811936,0.38335255511184924,0.3776347770696824
57,0.9999412376811936,0.5444456424277224,0.3724693360560111
