Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs
ackley_02b9b2ee,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26203513955986096,10
ackley_05b585c6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2548376749898259,10
ackley_06aec475,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25900406717023355,10
ackley_0b2b1ea6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25965294495767416,10
ackley_0bab415e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26136892621723873,10
ackley_15940a8f,0.04573460765384383,0.05124346282408239,0.059577251239779756,0.04582592252272521,10
ackley_18ba00e1,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2080644089427502,10
ackley_18ca59a8,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25675222910760354,10
ackley_199f4950,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.253137146043807,10
ackley_1a49de58,0.04445063092456781,0.045994864893726575,0.04877812174532246,0.045994864893726575,10
ackley_1be294bb,0.043430224234001294,0.05407149874197985,0.11008448706493833,0.048404961543948286,10
ackley_1c251b5c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24905325586136945,10
ackley_222de6e8,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2021951514264774,10
ackley_285b4b32,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2570982416169105,10
ackley_2af649da,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2572993604012059,10
ackley_2e2ea30e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2568515813945199,10
ackley_327c8a30,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2543706862608942,10
ackley_3657c41a,0.04414156904235596,0.045943215746748756,0.049965852839705505,0.04594321574674875,10
ackley_369b7693,0.04321265701712772,0.049694162666888884,0.08317673859362981,0.04673805849789267,10
ackley_381b84f5,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25379512849030406,10
ackley_38e01c2b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.1757013132634709,10
ackley_398e0d27,0.04479158430182976,0.04896468652122623,0.05953497030869904,0.047205683441675764,10
ackley_3c994f99,0.04570114614066367,0.05227258170007267,0.06523744008533792,0.048097306620367,10
ackley_3d4973d0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2503114098258511,10
ackley_3e9db7ff,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2154171906555636,10
ackley_41dc35e4,0.0450213321119444,0.051662066098439166,0.08112723772934845,0.04716145249398929,10
ackley_4271aaab,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2551996281468877,10
ackley_4366cf96,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.23744206275249335,10
ackley_4733f039,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.216135590379414,10
ackley_4c6a8caa,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22950029424212076,10
ackley_4e55bcbb,0.044466762379812626,0.04859229157445517,0.05529289696863688,0.04674292579685982,10
ackley_54450347,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22315938555751216,10
ackley_571433e7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2125900407902705,10
ackley_59d9ee97,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2035624370248892,10
ackley_5d33b8b2,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2531941094213428,10
ackley_5e51cf1f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25218486857391414,10
ackley_5f4e43c5,0.044213718812803005,0.04640014790886358,0.052542862512819505,0.04610314524076251,10
ackley_5f57bfe7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25691161906646137,10
ackley_6212fc06,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26096272001376547,10
ackley_657d4435,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2568800551382822,10
ackley_6657a1d0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24644696089879276,10
ackley_66918a6c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24908559398995317,10
ackley_6714041a,0.04359678102610104,0.04822029270819132,0.0675768509148074,0.04652272434733471,10
